field,category,description,non-missing,Min,Median,Max
case_id,id,unique uswtdb id,63003,3000001,3043313,3096960
faa_ors,id,faa digital obstacle file (dof) for obstacle repository system (ors),55784,n/a,n/a,n/a
faa_asn,id,faa obstruction evaluation - airport airspace analysis (oe-aaa) aeronautical study number (asn),56242,n/a,n/a,n/a
usgs_pr_id,id,usgs id from prior turbine dataset,41334,1,27679,49135
eia_id,id,eia plant id from eia form 860,57085,90,57261,62736
t_state,location,state where turbine is located,63003,n/a,n/a,n/a
t_county,location,county where turbine is located,63003,n/a,n/a,n/a
t_fips,location,state and county fips where turbine is located,63003,n/a,n/a,n/a
p_name,project characteristic,project name,63003,n/a,n/a,n/a
p_year,project characteristic,year project became operational,61463,1981,2011,2019
p_tnum,project characteristic,number of turbines in project,63003,1,81,796
p_cap,project characteristic,project capacity (MW),58348,0.05,130.5,495.01
t_manu,turbine characteristic,turbine original equipment manufacturer,57308,n/a,n/a,n/a
t_model,turbine characteristic,turbine model,56739,n/a,n/a,n/a
t_cap,turbine characteristic,turbine capacity (kW),57473,50,1715,6000
t_hh,turbine characteristic,turbine hub height (meters),55213,18.2,80,130
t_rd,turbine characteristic,turbine rotor diameter (meters),56275,11,88,150
t_rsa,turbine characteristic,turbine rotor swept area (meters^2),56093,95.03,6082.12,17671.46
t_ttlh,turbine characteristic,turbine total height - calculated (meters),55211,26.7,124.1,198.1
t_conf_atr,turbine characteristics qa/qc,turbine characteristic confidence (0-3),63003,1,3,3
t_conf_loc,visual inspection qa/qc,location confidence (0 -3),63003,1,3,3
t_img_date,visual inspection info,date of image used to visually verify turbine location,42136,n/a,n/a,n/a
t_img_srce,visual inspection info,source of image used to visually verify turbine location,63003,n/a,n/a,n/a
xlong,location,longitude (decimal degrees - NAD 83 datum),63003,-171.7131,-99.7578,144.7227
ylat,location,latitude (decimal degrees - NAD 83 datum),63003,13.3894,38.5034,66.8399
